"序号","煤名","状态","煤种","S硫","A灰","V挥发","G粘结","Y胶质","岩相","CSR","M水分","FOB","FRT","CIF","S可信度","A可信度","V可信度","G可信度","Y可信度","岩相可信度","CSR可信度","M可信度","FOB可信度","FRT可信度","备注"
32,"曹家山","active","主焦煤",1.5,9.5,17,73,"","","","","","","","","","","","","","","","","",""
33,"毛家庄","active","主焦煤",2.4,7.8,18,88,"","","","","","","","","","","","","","","","","",""
34,"大庄","active","主焦煤",0.8,11.5,23,90,"","","","","","","","","","","","","","","","","",""
35,"碾焉","active","主焦煤",1.9,10.8,25,95,"","","","","","","","","","","","","","","","","",""
36,"寨崖底-A","active","主焦煤",1.3,9.0,18,80,"","","","","","","","","","","","","","","","","","第一批次"
37,"寨崖底-B","active","主焦煤",2.3,9.0,20,90,"","","","","","","","","","","","","","","","","","第二批次"
38,"下山峁","active","主焦煤",0.7,12,23,88,"","","","","","","","","","","","","","","","","",""
39,"聚德","active","主焦煤",2.2,10.5,22,87,"","","","","","","","","","","","","","","","","",""
40,"同德","active","主焦煤",2.5,9.0,18,78,"","","","","","","","","","","","","","","","","",""
41,"邓家庄","active","主焦煤",0.5,14,29,90,"","","","","","","","","","","","","","","","","",""
42,"金家庄","active","主焦煤",1.1,8.5,18,79,"","","","","","","","","","","","","","","","","",""
43,"昌恒","active","主焦煤",1.3,9.0,33,82,"","","","","","","","","","","","","","","","","",""
44,"沈家峁","active","主焦煤",1.2,10,18,72,"","","","","","","","","","","","","","","","","",""
45,"暖泉","active","主焦煤",1.2,11,23,92,"","","","","","","","","","","","","","","","","",""
46,"付家焉","active","主焦煤",1.2,8.5,18,75,"","","","","","","","","","","","","","","","","",""
47,"朱家店","active","主焦煤",0.6,9.7,22,96,"","","","","","","","","","","","","","","","","",""
48,"宏岩","active","瘦煤",1.1,8.5,16,60,"","","","","","","","","","","","","","","","","","V=16 偏低, 适合做骨架煤"
49,"梗阳","active","主焦煤",0.6,12,25,92,"","","","","","","","","","","","","","","","","",""
50,"鑫岩","active","主焦煤",1.0,9.5,21,87,"","","","","","","","","","","","","","","","","",""
51,"苏村","active","主焦煤",1.2,9.5,19,78,"","","","","","","","","","","","","","","","","",""
52,"双柳","active","主焦煤",2.2,10.3,23,94,"","","","","","","","","","","","","","","","","",""
53,"西坡","active","主焦煤",0.5,11,28,92,"","","","","","","","","","","","","","","","","",""
54,"黄家沟","active","主焦煤",0.8,11,20,73,"","","","","","","","","","","","","","","","","",""
55,"晋邦德","active","主焦煤",2.0,10.6,19,82,"","","","","","","","","","","","","","","","","",""
56,"贾家沟","active","主焦煤",1.3,10,18,70,"","","","","","","","","","","","","","","","","",""
57,"乔家沟","active","主焦煤",1.2,10.5,20,80,"","","","","","","","","","","","","","","","","",""
58,"西合","active","主焦煤",0.6,11,23,90,"","","","","","","","","","","","","","","","","",""
59,"永聚","active","主焦煤",1.4,10.5,19,80,"","","","","","","","","","","","","","","","","",""
60,"王家庄","active","主焦煤",2.6,8.3,16,67,"","","","","","","","","","","","","","","","","",""
61,"哪哈沟","active","主焦煤",1.2,10,19,80,"","","","","","","","","","","","","","","","","",""
62,"赵家庄","active","主焦煤",1.1,10,21,80,"","","","","","","","","","","","","","","","","",""
63,"金地","active","主焦煤",0.7,14,23,80,"","","","","","","","","","","","","","","","","",""
64,"东泰金源","active","主焦煤",2.03,11.84,34.41,97.8,"","","","","","","","","","","","","","","","","","焦渣 7"
65,"东泰鑫源","active","主焦煤",3.8,10.2,25.49,98,"","","","","","","","","","","","","","","","","","水分 11.2%"
66,"东泰永宁","active","主焦煤",1.8,11.5,24,90,"","","","","","","","","","","","","","","","","",""
67,"背沟","active","主焦煤",1.3,12,22,85,"","","","","","","","","","","","","","","","","",""
68,"沙曲","draft","主焦煤",0.8,11,23,85,"","","","","","","","","","","","","","","","","","原始记录 S=10.8 异常, 推测笔误, 暂修订为 0.8, 使用前请核实"
69,"贺西","draft","无烟煤?",0.4,23,11,92,"","","","","","","","","","","","","","","","","","A=23 V=11 不像主焦煤, 疑似无烟煤, 使用前请核实"
70,"兴家沟","incomplete","","","","","","","","","","","","","","","","","","","","","","","待录入化验数据"
71,"木瓜","incomplete","","","","","","","","","","","","","","","","","","","","","","","待录入化验数据"
72,"关家崖","incomplete","","","","","","","","","","","","","","","","","","","","","","","待录入化验数据"
73,"车家庄","incomplete","","","","","","","","","","","","","","","","","","","","","","","待录入化验数据"
74,"电坪","incomplete","","","","","","","","","","","","","","","","","","","","","","","待录入化验数据"
